Reference,Quantity,Description,Manufacturer part or selection,Footprint,Side,Notes
U1,1,Waveshare RP2040-Zero,Waveshare RP2040-Zero,RP2040_Zero_Headers,B,Bottom; components outward/down; 3.0 mm board-to-module-back gap; needs 23 header pins
SW1,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D1,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C1,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW2,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D2,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C2,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW3,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D3,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C3,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW4,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D4,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C4,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW5,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D5,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C5,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW6,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D6,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C6,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW7,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D7,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C7,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW8,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D8,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C8,1,100nF 16V X7R,,C_0805_2012Metric,B,
SW9,1,Kailh CPG151101S11,CPG151101S11,SW_MX_HS_CPG151101S11_1u,B,Socket only; purchase actual MX switches separately
D9,1,SK6812MINI-E,SK6812MINI-E-012,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,B,"Reverse mount through window; pin1 GND,2 DIN,3 VDD,4 DOUT"
C9,1,100nF 16V X7R,,C_0805_2012Metric,B,
ENC1,1,ALPS EC11E15244G1,EC11E15244G1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,F,
J1,1,OLED: GND 3V3 SCL SDA,Direct soldered 4-wire harness,PinHeader_1x04_P2.54mm_Vertical,F,No tall header; wire OLED by signal names GND/VCC/SCL/SDA
U2,1,SN74AHCT125D,SN74AHCT125DR,SOIC-14_3.9x8.7mm_P1.27mm,F,
Q1,1,AO3401A P-MOSFET,AO3401A,SOT-23,F,
Q2,1,MMBT3904 NPN,MMBT3904LT1G,SOT-23,F,
R1,1,100k,,R_0805_2012Metric,F,
R2,1,10k,,R_0805_2012Metric,F,
R3,1,100k,,R_0805_2012Metric,F,
R4,1,330R,,R_0805_2012Metric,F,
R5,1,4.7k,,R_0805_2012Metric,F,
R6,1,4.7k,,R_0805_2012Metric,F,
R7,1,3.3k,,R_0805_2012Metric,F,
R8,1,3.3k,,R_0805_2012Metric,F,
R9,1,4.7k,,R_0805_2012Metric,F,
C10,1,100nF 16V X7R,,C_0805_2012Metric,F,
C11,1,4.7uF 16V X5R,,C_0805_2012Metric,F,
F1,1,1206L050YR 0.5A PTC,1206L050YR,Fuse_1206_3216Metric,F,
OLED,1,128x32 monochrome OLED,Waveshare 0.91inch OLED Module SKU14657,,Off-board,36x12.5mm; 3.3V I2C
SWITCHES,9,Standard-height RGB-compatible MX switches,User choice,,Off-board,3-pin or5-pin; 1.5mm plate
KEYCAPS,9,1u MX-stem keycaps,User choice,,Off-board,Uniform profile suggested
U1_PINS,23,2.54mm pitch 0.64mm square header pins,Breakaway 2x9 +1x5,,Off-board,3.0mm gap between boards
INSERTS,4,M2.5 brass heat-set inserts,OD3.8 x L4.0mm,,Off-board,Test coupon first
SCREWS_FRONT,2,M2.5 x12mm machine screw,Pan/button head,,Off-board,Front key side
SCREWS_REAR,2,M2.5 x18mm machine screw,Pan/button head,,Off-board,Rear hood side
FEET,4,8mm adhesive rubber feet,User choice,,Off-board,Thickness >=1mm
CASE_BASE,1,Printed base,goober-base.stl,,Off-board,Millimetres; 100%
CASE_LID,1,Printed lid,goober-lid.stl,,Off-board,Print with appropriate supports
KNOB,1,Printed 6mm D-shaft knob,goober-knob.stl,,Off-board,Fit test actual shaft
USB_CABLE,1,USB-C data cable,Match Mac port,,Off-board,Plug overmold fits14x8mm opening
OLED_TAPE,1,Thin double-sided electronics tape,Small amount,,Off-board,"PCB ledges only, not glass"
